date,clean_tweet
2017-05-22,there s just no way  hundreds of parts and most of wiring harness would have to be replaced  would cost more to retrofit than trading in 
2017-04-12,autolist survey finds tesla used car values are highest and sell fastest
2017-04-03,exactly  tesla is absurdly overvalued if based on the past  but that s irrelevant  a stock price represents risk adjusted future cash flows 
2017-01-22,the 100d price takes into account exchange rate shifts  whereas other vehicle prices haven t yet been adjusted
2018-10-27,it was underpriced  anyway  if you want  5k refund  amp  free supercharging turned off  we will do that 
2018-10-22,wanna buy some bitcoin    
2018-10-18,it s kind of like the post office  same price for delivery to maine as the sf bay area  but you do get a free tesla factory tour  which is really fun to see 
2018-10-17,true  but this will improve dramatically over next several months  amp  all tesla cars ever produced  except early roadsters  will get improvements for free  continuous  free over the air software updates is a big part of why a tesla retains so much value over time 
2018-10-04,exactly  short sellers are value destroyers  should definitely be illegal 
2018-10-04,by revenue  taking publicly available selling prices  model 3 actually outsold camry by a factor of two
2018-10-04,people sometimes forget that a company is just a group of people gathered together to make products  so long as it makes great products  it will have great value 
2018-10-04,if you think tesla is overvalued compared to probable value of future cash flows  sell  otherwise  buy 
