date,clean_tweet
2016-10-29,should mention that the tesla solar roof is robust against any weather  incl heavy hail  also  higher insulating value than a standard roof 
2016-09-13,comprehensive study by autolist shows that a tesla retains its value far better than gasoline sedans
2016-07-05,if you care about auto deaths as material to stock prices  why no articles about 1m  year deaths from other auto companies 
2016-04-27,some places are trickier than others  but yes  that s the value of having a pica 3 heat shield with propulsive landing 
2016-04-20,looks like model x resale value is holding up well   
2016-04-01,model 3 orders at 180 000 in 24 hours  selling price w avg option mix prob  42k  so   7 5b in a day  future of electric cars looking bright 
2017-10-06,tesla always charges the same price for a powerwall  only taxes  amp  shipping costs vary   so something is messed up here  i ve asked my team to stop shipment to any installers charging excessive premiums 
2017-10-02,homes on jupiter with solar power  and  a powerwall going right now for great price 
2017-09-26,good nyt article from several years ago about the value of fiction
2017-07-30,yeah  it s better than a model 3  we can put a lot more in a car at a higher price 
2017-07-25, us price in  aud plus import duties and sales tax
2017-07-11,thanks paypal for allowing me to buy back no plans right now  but it has great sentimental value to me 
2017-07-09,it s who is first to pay full price for the car  hard rule  i have first roadster and x  but not first s 
2017-06-16, 300m cost diff between spacex and boeing lockheed exceeds avg value of satellite  so flying with spacex means satellite is basically free
